,Unnamed: 0,LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital,Prompt
45,,qwen2.5vl3b,11,16,0,15.0,57.692307692307686,48.38709677419355,52.63157894736842,35.714285714285715,ollama,hospital1,Normal
46,,granite3.2,5,13,5,19.0,65.51724137931035,59.375,62.29508196721312,45.23809523809524,ollama,hospital1,Normal
47,,gemma31b-it-qat,7,17,3,15.0,60.0,46.875,52.63157894736842,35.714285714285715,ollama,hospital1,Normal
48,,qwen31.7b,1,15,0,26.0,96.29629629629629,63.41463414634146,76.47058823529412,61.904761904761905,ollama,hospital1,Normal
49,,gemma34b,7,12,2,21.0,70.0,63.63636363636363,66.66666666666667,50.0,ollama,hospital1,Normal
50,,llama3.21b,2,9,16,15.0,45.45454545454545,62.5,52.631578947368425,35.714285714285715,ollama,hospital1,Normal
51,,qwen31.7b,1,17,0,24.0,96.0,58.536585365853654,72.72727272727272,57.14285714285714,ollama,hospital2,Normal
52,,gemma34b,1,15,0,26.0,96.29629629629629,63.41463414634146,76.47058823529412,61.904761904761905,ollama,hospital2,Normal
53,,granite3.2,1,13,16,12.0,41.37931034482759,48.0,44.44444444444444,28.57142857142857,ollama,hospital2,Normal
54,,llama3.21b,1,17,15,9.0,36.0,34.61538461538461,35.294117647058826,21.428571428571427,ollama,hospital2,Normal
55,,llama3.23b,0,9,6,27.0,81.81818181818183,75.0,78.2608695652174,64.28571428571429,ollama,hospital2,Normal
56,,qwen2.5vl3b,1,17,2,22.0,88.0,56.41025641025641,68.75,52.38095238095239,ollama,hospital2,Normal
57,,gemma31b-it-qat,0,10,14,18.0,56.25,64.28571428571429,60.0,42.857142857142854,ollama,hospital2,Normal
58,,qwen2.5vl3b*ImageInput*,7,13,6,16.0,55.172413793103445,55.172413793103445,55.172413793103445,38.095238095238095,ollama_vision,hospital1,Normal
59,,granite3.2*ImageInput*,1,8,26,7.0,20.588235294117645,46.666666666666664,28.57142857142857,16.666666666666664,ollama_vision,hospital1,Normal
60,,gemma34b*ImageInput*,6,11,3,22.0,70.96774193548387,66.66666666666666,68.75,52.38095238095239,ollama_vision,hospital1,Normal
61,,gemma34b*ImageInput*,1,17,2,22.0,88.0,56.41025641025641,68.75,52.38095238095239,ollama_vision,hospital2,Normal
62,,granite3.2*ImageInput*,1,8,26,7.0,20.588235294117645,46.666666666666664,28.57142857142857,16.666666666666664,ollama_vision,hospital2,Normal
63,,qwen2.5vl3b*ImageInput*,2,20,0,20.0,90.9090909090909,50.0,64.51612903225806,47.61904761904761,ollama_vision,hospital2,Normal
64,,gpt-4.1-nano,10,4,0,28.0,73.68421052631578,87.5,80.0,66.66666666666666,openai,hospital1,Normal
65,,gpt-4o,7,3,1,31.0,79.48717948717949,91.17647058823529,84.93150684931507,73.80952380952381,openai,hospital1,Normal
66,,gpt-4o-mini,15,4,0,23.0,60.526315789473685,85.18518518518519,70.76923076923079,54.761904761904766,openai,hospital1,Normal
67,,gpt-4o,8,7,3,24.0,68.57142857142857,77.41935483870968,72.72727272727273,57.14285714285714,openai,hospital2,Normal
68,,gpt-4o-mini,8,8,2,24.0,70.58823529411765,75.0,72.72727272727273,57.14285714285714,openai,hospital2,Normal
69,,gpt-4.1-nano,8,11,5,18.0,58.06451612903226,62.06896551724138,60.0,42.857142857142854,openai,hospital2,Normal
70,,gpt-4.1-nano*ImageInput*,0,8,16,18.0,52.94117647058824,69.23076923076923,60.00000000000001,42.857142857142854,openai_vision,hospital1,Normal
71,,gpt-4o*ImageInput*,1,8,16,17.0,50.0,68.0,57.6271186440678,40.476190476190474,openai_vision,hospital1,Normal
72,,gpt-4o-mini*ImageInput*,1,8,16,17.0,50.0,68.0,57.6271186440678,40.476190476190474,openai_vision,hospital1,Normal
73,,gpt-4o*ImageInput*,1,8,26,7.0,20.588235294117645,46.666666666666664,28.57142857142857,16.666666666666664,openai_vision,hospital2,Normal
74,,gpt-4o-mini*ImageInput*,1,8,26,7.0,20.588235294117645,46.666666666666664,28.57142857142857,16.666666666666664,openai_vision,hospital2,Normal
75,,gpt-4.1-nano*ImageInput*,0,8,26,8.0,23.52941176470588,50.0,31.999999999999993,19.047619047619047,openai_vision,hospital2,Normal
