,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Parsed,Hospital,Prompt,Distressed
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,GliNER,11.25806101792944,42.258061017929435,0.0,5.741938982070561,33.776111659238595,11.96237287931367,17.66750456021711,11.96237287931367,,CHEO,,False
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,GliNER,12.988461538461538,42.988461538461536,0.0,5.011538461538462,27.841880341880348,10.44070512820513,15.186480186480187,10.44070512820513,,CHEO,,True
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,GliNER,14.333076563958915,45.33307656395892,0.0,2.666923436041083,15.687784917888722,5.556090491752256,8.205918264741793,5.556090491752256,,Hamilton,,False
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,GliNER,14.4495670995671,46.4495670995671,0.0,1.5504329004329005,9.690205627705629,3.2300685425685427,4.845102813852814,3.2300685425685427,,Hamilton,,True
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,GliNER,13.535002094679514,47.53500209467951,0.0,0.4649979053204859,3.3214136094320423,0.9687456360843458,1.4999932429693097,0.9687456360843458,,Kingston,,False
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,GliNER,13.075036075036074,47.075036075036074,0.0,0.924963924963925,6.60688517831375,1.927008177008177,2.983754596657822,1.927008177008177,,Kingston,,True
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,GliNER,10.06043956043956,47.06043956043956,0.0,0.9395604395604396,8.54145854145854,1.9574175824175823,3.1849506425777614,1.9574175824175823,,LHSC,,True
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,GliNER,12.5,46.5,0.0,1.5,10.714285714285714,3.125,4.838709677419355,3.125,,LHSC,,False
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,GliNER,10.616666666666667,44.61666666666667,0.0,3.383333333333333,24.166666666666664,7.04861111111111,10.913978494623654,7.04861111111111,,MtSinai,,True
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,GliNER,15.059722222222222,47.05972222222222,0.0,0.940277777777778,5.876736111111112,1.9589120370370372,2.938368055555556,1.9589120370370372,,MtSinai,,False
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,GliNER,13.844932844932844,45.84493284493284,0.0,2.1550671550671545,13.469169719169717,4.489723239723239,6.734584859584858,4.489723239723239,,NYGH,,False
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,GliNER,11.714114832535886,46.71411483253589,0.0,1.2858851674641147,9.891424365108575,2.6789274322169057,4.216016942505294,2.6789274322169057,,NYGH,,True
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,GliNER,14.228565002249212,47.22856500224921,0.0,0.7714349977507873,5.142899985005248,1.60715624531414,2.448999992859642,1.60715624531414,,SickKids,,False
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,GliNER,3.731034482758621,47.73103448275862,0.0,0.2689655172413793,6.724137931034484,0.560344827586207,1.0344827586206895,0.560344827586207,,SickKids,,True
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,GliNER,12.371153846153844,45.371153846153845,0.0,2.6288461538461547,17.525641025641033,5.476762820512823,8.34554334554335,5.476762820512823,,Trillium,,False
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,GliNER,15.10952380952381,46.10952380952381,0.0,1.8904761904761904,11.120448179271708,3.9384920634920633,5.816849816849817,3.9384920634920633,,Trillium,,True
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,GliNER,8.371428571428572,47.371428571428574,0.0,0.6285714285714286,6.984126984126984,1.3095238095238095,2.2055137844611528,1.3095238095238095,,UHN,,True
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,GliNER,11.526136363636365,41.52613636363636,0.0,6.473863636363636,35.965909090909086,13.487215909090908,19.617768595041323,13.487215909090908,,UHN,,False
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,mistral(24b),15.0,33.0,3.0,12.0,40.0,26.666666666666668,32.0,25.0,True,fakeHospital1,Normal,True
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,llama3.170b,7.0,13.0,5.0,30.0,71.42857142857143,69.76744186046511,70.58823529411764,62.5,True,fakeHospital1,Normal,False
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,mistral(24b),8.0,12.0,3.0,33.0,75.0,73.33333333333333,74.15730337078652,68.75,True,fakeHospital1,Normal,False
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,llama3.170b,5.0,11.0,5.0,32.0,76.19047619047619,74.4186046511628,75.29411764705883,66.66666666666666,True,fakeHospital1,Normal,True
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,gemma327b,6.0,11.0,7.0,30.0,69.76744186046511,73.17073170731707,71.42857142857142,62.5,True,fakeHospital1,Normal,False
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,gemma327b,3.0,32.0,3.0,13.0,68.42105263157895,28.88888888888889,40.625,27.083333333333332,True,fakeHospital1,Normal,True
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,mistral(24b),8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,fakeHospital2,Normal,True
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,mistral(24b),10.0,31.0,2.0,15.0,55.55555555555556,32.608695652173914,41.0958904109589,31.25,True,fakeHospital2,Normal,False
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,gemma327b,3.0,31.0,2.0,15.0,75.0,32.608695652173914,45.45454545454546,31.25,True,fakeHospital2,Normal,False
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,llama3.170b,5.0,16.0,6.0,26.0,70.27027027027027,61.904761904761905,65.82278481012658,54.166666666666664,True,fakeHospital2,Normal,True
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,gemma327b,15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,fakeHospital2,Normal,True
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,llama3.170b,1.0,4.0,7.0,37.0,82.22222222222221,90.2439024390244,86.04651162790697,77.08333333333334,True,fakeHospital2,Normal,False
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,llama3.170b,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,CHEO,Normal,False
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,mistral(24b),,,,,,,,,False,CHEO,Normal,True
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,gemma327b,18.0,47.0,0.0,1.0,5.263157894736842,2.083333333333333,2.9850746268656714,2.083333333333333,True,CHEO,Normal,True
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,llama3.170b,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,CHEO,Normal,True
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,mistral(24b),15.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,CHEO,Normal,False
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,gemma327b,14.0,33.0,0.0,15.0,51.72413793103448,31.25,38.961038961038966,31.25,True,CHEO,Normal,False
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,mistral(24b),,,,,,,,,False,Hamilton,Normal,True
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,gemma327b,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,True,Hamilton,Normal,False
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,llama3.170b,,,,,,,,,False,Hamilton,Normal,True
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,mistral(24b),,,,,,,,,False,Hamilton,Normal,False
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,gemma327b,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,True,Hamilton,Normal,True
67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,llama3.170b,1.0,31.0,1.0,16.0,88.88888888888889,34.04255319148936,49.23076923076923,33.33333333333333,True,Hamilton,Normal,False
68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,mistral(24b),,,,,,,,,False,Kingston,Normal,True
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,llama3.170b,19.0,47.0,0.0,1.0,5.0,2.083333333333333,2.9411764705882346,2.083333333333333,True,Kingston,Normal,False
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,gemma327b,17.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Kingston,Normal,True
71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,llama3.170b,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Kingston,Normal,True
