LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital
gemma31b-it-qat,11.0,24.0,8.0,38.0,77.55102040816327,61.29032258064516,68.46846846846846,58.46153846153847,Ollama,hospital2
qwen31.7b,88.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,Ollama,hospital2
gpt-4.1-nano,15.0,20.0,6.0,36.0,70.58823529411765,64.28571428571429,67.28971962616822,55.38461538461539,OpenAI,hospital1
gpt-4o-mini,16.0,18.0,6.0,37.0,69.81132075471697,67.27272727272727,68.51851851851852,56.92307692307692,OpenAI,hospital1
gpt-4o-mini,13.0,28.0,12.0,36.0,73.46938775510205,56.25,63.71681415929204,55.38461538461539,OpenAI,hospital2
gpt-4.1-nano,15.0,30.0,14.0,34.0,69.38775510204081,53.125,60.176991150442475,52.307692307692314,OpenAI,hospital2
mistral-3.1-24b,15.0,10.0,3.0,43.0,74.13793103448276,81.13207547169812,77.47747747747748,66.15384615384615,OpenRouter,hospital1
llama-4-scout,10.0,10.0,1.0,46.0,82.14285714285714,82.14285714285714,82.14285714285714,70.76923076923077,OpenRouter,hospital1
qwen2.5:72b,10.0,10.0,1.0,46.0,82.14285714285714,82.14285714285714,82.14285714285714,70.76923076923077,OpenRouter,hospital1
qwen2.5vl3b*ImageInput*,18.0,29.0,9.0,27.0,60.0,48.214285714285715,53.46534653465346,41.53846153846154,Ollama,hospital1
granite3.2*ImageInput*,14.0,38.0,7.0,20.0,58.82352941176471,34.48275862068966,43.47826086956522,30.76923076923077,Ollama,hospital1
gemma34b*ImageInput*,27.0,24.0,11.0,25.0,48.07692307692308,51.02040816326531,49.504950495049506,38.46153846153847,Ollama,hospital1
gemma34b*ImageInput*,21.0,32.0,21.0,33.0,61.111111111111114,50.76923076923077,55.462184873949575,50.76923076923077,Ollama,hospital2
granite3.2*ImageInput*,3.0,39.0,2.0,24.0,88.88888888888889,38.095238095238095,53.33333333333333,36.92307692307693,Ollama,hospital2
qwen2.5vl3b*ImageInput*,9.0,37.0,8.0,26.0,74.28571428571429,41.269841269841265,53.06122448979592,40.0,Ollama,hospital2
gpt-4.1-nano*ImageInput*,1.0,29.0,1.0,35.0,97.2222222222222,54.6875,69.99999999999999,53.84615384615385,OpenAi,hospital1
gpt-4o-mini*ImageInput*,1.0,29.0,0.0,34.0,97.14285714285714,53.96825396825397,69.38775510204081,52.307692307692314,OpenAi,hospital1
gpt-4o-mini*ImageInput*,1.0,39.0,0.0,24.0,96.0,38.095238095238095,54.54545454545454,36.92307692307693,OpenAi,hospital2
