model,field
Gemma,date_verified
Gemma,gene_symbol
Gemma,interpretation
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,sample_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,zygosity
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,mafac
Llama3.1,mafaf
Llama3.1,mafan
Llama3.1,num_tested_genes
Llama3.1,ordering_clinic
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Llama3.1,variant_id
Gemma,analysis_type
Gemma,date_collected
Gemma,date_received
Gemma,date_verified
Gemma,num_tested_genes
Gemma,num_variants
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,report_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,analysis_type
Gemma,date_collected
Gemma,gene_symbol
Gemma,gene_symbol
Gemma,hgvsg
Gemma,mafaf
Gemma,ordering_clinic
Gemma,reference_genome
Gemma,refseq_mrna
Gemma,report_type
Gemma,sequencing_scope
Gemma,testing_context
Gemma,testing_laboratory
Gemma,transcript_id
Gemma,type
Gemma,zygosity
Llama3.1,analysis_type
Llama3.1,date_collected
Llama3.1,date_received
Llama3.1,date_verified
Llama3.1,num_tested_genes
Llama3.1,num_variants
Llama3.1,ordering_clinic
Llama3.1,reference_genome
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,date_verified
Llama3.1,gene_symbol
Llama3.1,gene_symbol
Llama3.1,ordering_clinic
Llama3.1,refseq_mrna
Llama3.1,report_type
Llama3.1,sample_type
Llama3.1,sequencing_scope
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
Llama3.1,zygosity
Llama3.1,date_collected
Llama3.1,gene_symbol
Llama3.1,gene_symbol
Llama3.1,report_type
Llama3.1,testing_context
Llama3.1,testing_laboratory
Llama3.1,transcript_id
Llama3.1,type
